10-digit PSGC,Name,Geographic Level
1380601230,Barangay 229,Bgy
1380601231,Barangay 230,Bgy
1380601232,Barangay 231,Bgy
1380601233,Barangay 232,Bgy
1380601234,Barangay 233,Bgy
1380601235,Barangay 234,Bgy
1380601236,Barangay 235,Bgy
1380601237,Barangay 236,Bgy
1380601238,Barangay 237,Bgy
1380601239,Barangay 238,Bgy
1380601240,Barangay 239,Bgy
1380601241,Barangay 240,Bgy
1380601242,Barangay 241,Bgy
1380601243,Barangay 242,Bgy
1380601244,Barangay 243,Bgy
1380601245,Barangay 244,Bgy
1380601246,Barangay 245,Bgy
1380601247,Barangay 246,Bgy
1380601248,Barangay 247,Bgy
1380601249,Barangay 248,Bgy
1380601250,Barangay 249,Bgy
1380601251,Barangay 250,Bgy
1380601252,Barangay 251,Bgy
1380601253,Barangay 252,Bgy
1380601254,Barangay 253,Bgy
1380601255,Barangay 254,Bgy
1380601256,Barangay 255,Bgy
1380601257,Barangay 256,Bgy
1380601258,Barangay 257,Bgy
1380601259,Barangay 258,Bgy
1380601260,Barangay 259,Bgy
1380601261,Barangay 260,Bgy
1380601262,Barangay 261,Bgy
1380601263,Barangay 262,Bgy
1380601264,Barangay 263,Bgy
1380601265,Barangay 264,Bgy
1380601266,Barangay 265,Bgy
1380601267,Barangay 266,Bgy
1380601268,Barangay 267,Bgy
1380602000,Binondo,SubMun
1380602001,Barangay 287,Bgy
1380602002,Barangay 288,Bgy
1380602003,Barangay 289,Bgy
1380602004,Barangay 290,Bgy
1380602005,Barangay 291,Bgy
1380602006,Barangay 292,Bgy
1380602007,Barangay 293,Bgy
1380602008,Barangay 294,Bgy
1380602009,Barangay 295,Bgy
1380602010,Barangay 296,Bgy
1380603000,Quiapo,SubMun
1380603003,Barangay 383,Bgy
1380603004,Barangay 384,Bgy
1380603005,Barangay 385,Bgy
1380603006,Barangay 386,Bgy
1380603007,Barangay 387,Bgy
1380603008,Barangay 388,Bgy
1380603009,Barangay 389,Bgy
1380603010,Barangay 390,Bgy
1380603011,Barangay 391,Bgy
1380603012,Barangay 392,Bgy
1380603013,Barangay 393,Bgy
1380603014,Barangay 394,Bgy
1380603015,Barangay 306,Bgy
1380603016,Barangay 307,Bgy
1380603017,Barangay 308,Bgy
1380603018,Barangay 309,Bgy
1380604000,San Nicolas,SubMun
1380604001,Barangay 268,Bgy
1380604002,Barangay 269,Bgy
1380604003,Barangay 270,Bgy
1380604004,Barangay 271,Bgy
1380604005,Barangay 272,Bgy
1380604006,Barangay 273,Bgy
1380604007,Barangay 274,Bgy
1380604008,Barangay 275,Bgy
1380604009,Barangay 276,Bgy
1380604014,Barangay 281,Bgy
